id,week,day_of_week,start_time,end_time,classroom,is_rescheduled
848,13,2,6,7,I704,0
849,14,2,6,7,I704,0
850,15,2,6,7,I704,0
851,16,2,6,7,I704,0
852,9,5,6,7,I704,0
853,10,5,6,7,I704,0
854,11,5,6,7,I704,0
855,12,5,6,7,I704,0
856,13,5,6,7,I704,0
857,14,5,6,7,I704,0
858,15,5,6,7,I704,0
859,16,5,6,7,I704,0
860,1,1,6,7,F404,0
861,2,1,6,7,F404,0
862,3,1,6,7,F404,0
863,4,1,6,7,F404,0
864,5,1,6,7,F404,0
865,6,1,6,7,F404,0
866,7,1,6,7,F404,0
867,8,1,6,7,F404,0
868,9,1,6,7,F404,0
869,10,1,6,7,F404,0
870,1,3,6,7,F404,0
871,2,3,6,7,F404,0
872,3,3,6,7,F404,0
873,4,3,6,7,F404,0
874,5,3,6,7,F404,0
875,6,3,6,7,F404,0
876,7,3,6,7,F404,0
877,8,3,6,7,F404,0
878,9,3,6,7,F404,0
879,10,3,6,7,F404,0
880,11,1,6,7,F404,0
881,12,1,6,7,F404,0
882,11,3,6,7,F404,0
883,12,3,6,7,F404,0
884,12,2,6,7,B130,0
885,13,2,6,7,B130,0
886,14,2,6,7,B130,0
887,12,4,3,5,B130,0
888,13,4,3,5,B130,0
889,14,4,3,5,B130,0
890,15,2,6,7,H130,0
891,1,2,6,7,F602,0
892,2,2,6,7,F602,0
893,3,2,6,7,F602,0
894,4,2,6,7,F602,0
895,5,2,6,7,F602,0
896,6,2,6,7,F602,0
897,7,2,6,7,F602,0
898,8,2,6,7,F602,0
899,1,4,8,9,F602,0
900,2,4,8,9,F602,0
901,3,4,8,9,F602,0
902,4,4,8,9,F602,0
903,5,4,8,9,F602,0
904,6,4,8,9,F602,0
905,7,4,8,9,F602,0
906,8,4,8,9,F602,0
907,1,1,3,5,I704,0
908,2,1,3,5,I704,0
909,3,1,3,5,I704,0
910,4,1,3,5,I704,0
911,5,1,3,5,I704,0
912,6,1,3,5,I704,0
913,7,1,3,5,I704,0
914,1,2,3,5,F102,0
915,2,2,3,5,F102,0
916,3,2,3,5,F102,0
917,4,2,3,5,F102,0
918,5,2,3,5,F102,0
919,6,2,3,5,F102,0
920,7,2,3,5,F102,0
921,8,1,3,5,I704,0
922,8,2,3,5,F504,0
923,1,6,3,5,I404,0
924,2,6,3,5,I404,0
925,3,6,3,5,I404,0
