已排时间地点,调课结果
1-8周 星期一[6-7节]文萃楼I303,
1-8周 星期一[3-4节]文萃楼M223,
1-8周 星期五[6-7节]文萃楼M233,
1-6周 星期一[8-10节]文萃楼G124,
"1,3-12周 星期二[3-5节]文萃楼M224;13周 星期二[3-5节]文萃楼M224","调课,调课,调课"
1-6周 星期四[8-10节]文萃楼M124,
1-13周 星期三[3-5节]文萃楼I101,
1-13周 星期三[8-10节]文萃楼F505,
1-12周 星期一[8-10节]文萃楼M124,
1-12周 星期二[3-5节]文萃楼L614,
1-12周 星期一[3-5节]文萃楼F101,
6-13周 星期四[8-9节]文萃楼I502,
"1-8,10-12周 星期二[8-10节]文萃楼F101;13周 星期二[8-10节]文萃楼F102","补课,停课,停课,停课,补课,补课"
1-6周 星期二[3-5节]文萃楼I504;7-12周 星期二[3-5节]综教A405,
"1-7,9-11周 星期五[8-10节]文萃楼I101;12周 星期五[8-10节]文萃L612;13周 星期五[8-9节]文萃L612","补课,停课,停课,停课,补课,补课,补课,补课"
1周 星期二[3-5节]理教楼505;2-12周 星期二[3-5节]文萃楼B223,"调课,调课,调课"
1-16周 星期四[11-12节]文萃楼I101,
1-11周 星期四[3-5节]文萃楼B139,
7-11周 星期一[3-5节]文萃楼M124;12-17周 星期四[3-5节]文萃楼M222,"调课,调课,调课"
"1-8周 星期二[6-7节]文萃楼M224;1-3,5-8周 星期五[6-7节]文萃楼M224;4周 星期四[12-13节]文萃楼F101","调课,调课"
1-12周 星期二[3-5节]文萃楼I101,
1-9周 星期一[6-7节]文萃楼M124;2-8周 星期三[6-7节]文萃楼M124;9周 星期三[1-2节]文萃楼M124,"调课,调课"
"3-9,11-12周 星期五[3-5节]文萃楼M223;13周 星期五[8-10节]文萃楼M223;14周 星期五[8-10节]文萃楼M223","调课,调课,调课,调课,调课,调课,调课,调课,调课"
1-5周 星期二[8-10节]文萃楼L614;6-12周 星期二[8-10节]文萃楼L614,
1-17周 星期二[8-10节]文萃楼I101,
2-12周 星期五 8-10节 文萃楼I205,
2-12周 星期二 8-10节 文萃楼M227,
2-12周 星期一 8-10节 文萃楼F503,
2-12周 星期二 11-13节 文萃楼I401,调课:2-12周 星期2 11-13节 徐嘉/6120130120 文萃楼I401 调至:2-12周 星期2 11-13节 徐嘉/6120130120 文萃楼M135
2-12周 星期二 11-13节 文萃楼M227,
2-12周 星期五 8-10节 文萃楼F102,调课:4周 星期5 8-10节 汤丽/6120103551 文萃楼F102 调至:4周 星期5 8-10节 汤丽/6120103551 综教B302
9-12周 星期三 1-8节 文萃楼I201,
9-12周 星期三 1-8节 文萃楼M227,
9-12周 星期三 1-8节 文萃楼M224,
1-4周 星期三 1-8节 文萃楼C905,
1-4周 星期三 1-8节 文萃楼C805,
1-4周 星期三 1-8节 文萃楼C501b,
1-4周 星期三 1-8节 文萃楼C501c,
1-4周 星期三 1-8节 文萃楼C501d,
5-8周 星期三 1-8节 文萃楼C905,
5-8周 星期三 1-8节 文萃楼C805,
5-8周 星期三 1-8节 文萃楼C501b,
5-8周 星期三 1-8节 文萃楼C501c,
5-8周 星期三 1-8节 文萃楼C501d,
"13-16周 星期三 6-9节 文萃楼M135,13-16周 星期五 6-9节 文萃楼M135",
"4-5周 星期二 6-9节 文萃楼C705,4-5周 星期三 6-9节 文萃楼C705,4-5周 星期四 6-9节 文萃楼C705,4-5周 星期五 6-9节 文萃楼C705",
"6-7周 星期二 6-9节 文萃楼C705,6-7周 星期三 6-9节 文萃楼C705,6-7周 星期四 6-9节 文萃楼C705,6-7周 星期五 6-9节 文萃楼C705",
"1-3周 星期二 6-9节 文萃楼C505,1-3周 星期三 6-9节 文萃楼C505,1-2周 星期五 6-9节 文萃楼C505",
"1-3周 星期二 6-9节 文萃楼C506,1-3周 星期四 6-9节 文萃楼C506,1-2周 星期五 6-9节 文萃楼C506",
"9-12周 星期一 2-5节 文萃楼F303,9-12周 星期三 2-5节 文萃楼F303",
"1-4周 星期二 2-5节 文萃楼F405,1-4周 星期四 2-5节 文萃楼F405",
"12-14周 星期二 6-9节 文萃楼G126,12-14周 星期四 6-9节 文萃楼G126,12-13周 星期五 6-9节 文萃楼G126","调课:12-14周 星期2 6-9节 关国红/6120103650 文萃楼G126 调至:12-14周 星期2 6-9节 张洪海/6120104454 文萃楼G126,调课:12-14周 星期4 6-9节 关国红/6120103650 文萃楼G126 调至:12-14周 星期4 6-9节 张洪海/6120104454 文萃楼G126,调课:12-13周 星期5 6-9节 关国红/6120103650 文萃楼G126 调至:12-13周 星期5 6-9节 张洪海/6120104454 文萃楼G126"
"12周 星期二 6-9节 文萃楼C705,12周 星期四 6-9节 文萃楼C705,12周 星期五 6-9节 文萃楼C705,13-16周 星期二 6-9节 文萃楼C505,13-16周 星期四 6-9节 文萃楼C505,13-16周 星期五 6-9节 文萃楼C505,17周 星期五 6-9节 文萃楼C505",
"12周 星期二 6-9节 文萃楼C805,12周 星期四 6-9节 文萃楼C805,12周 星期五 6-9节 文萃楼C805,13-16周 星期二 6-9节 文萃楼C506,13-16周 星期四 6-9节 文萃楼C506,13-16周 星期五 6-9节 文萃楼C506,17周 星期五 6-9节 文萃楼C506",
"8-12周 星期二 6-9节 文萃楼C505,8-12周 星期四 6-9节 文萃楼C505,8-12周 星期五 6-9节 文萃楼C505,13周 星期三 6-9节 文萃楼C505","调课:8-9周 星期5 6-9节 宫晓东/6120103066 文萃楼C505 调至:8-9周 星期5 6-9节 乔宇/6120210153 文萃楼C505,调课:10-12周 星期5 6-9节 徐悬/6120103438 文萃楼C505 调至:10-12周 星期5 6-9节 乔宇/6120210153 文萃楼C505,调课:11-12周 星期4 6-9节 徐悬/6120103438 文萃楼C505 调至:11-12周 星期4 6-9节 乔宇/6120210153 文萃楼C505,调课:11-12周 星期4 6-9节 徐悬/6120103438 文萃楼C505 调至:11-12周 星期4 6-9节 乔宇/6120210153 文萃楼C505,调课:13周 星期3 6-9节 徐悬/6120103438 文萃楼C505 调至:13周 星期3 6-9节 乔宇/6120210153 文萃楼C505,调课:10-12周 星期5 6-9节 徐悬/6120103438 文萃楼C505 调至:10-12周 星期5 6-9节 乔宇/6120210153 文萃楼C505,调课:8-10周 星期2 6-9节 宫晓东/6120103066 文萃楼C505 调至:8-10周 星期2 6-9节 乔宇/6120210153 文萃楼C505,调课:8-10周 星期4 6-9节 宫晓东/6120103066 文萃楼C505 调至:8-10周 星期4 6-9节 乔宇/6120210153 文萃楼C505,调课:11-12周 星期4 6-9节 宫晓东/6120103066 文萃楼C505 调至:11-12周 星期4 6-9节 徐悬/6120103438 文萃楼C505,调课:11-12周 星期2 6-9节 宫晓东/6120103066 文萃楼C505 调至:11-12周 星期2 6-9节 徐悬/6120103438 文萃楼C505,调课:13周 星期3 6-9节 宫晓东/6120103066 文萃楼C505 调至:13周 星期3 6-9节 徐悬/6120103438 文萃楼C505,调课:10-12周 星期5 6-9节 宫晓东/6120103066 文萃楼C505 调至:10-12周 星期5 6-9节 徐悬/6120103438 文萃楼C505"
"8-12周 星期二 6-9节 文萃楼C506,8-12周 星期四 6-9节 文萃楼C506,8-12周 星期五 6-9节 文萃楼C506,13周 星期三 6-9节 文萃楼C506",调课:9周 星期2 6-9节 巩超/6120120042 文萃楼C506 调至:9周 星期2 6-9节 于德华/6120104449 文萃楼C506
"1-4周 星期二 6-9节 文萃楼G125,1-4周 星期四 6-9节 文萃楼G125,1-4周 星期五 6-9节 文萃楼G125",
"4-7周 星期二 6-9节 文萃楼C506,4-7周 星期四 6-9节 文萃楼C506,4-7周 星期五 6-9节 文萃楼C506",
"8-11周 星期二 6-9节 文萃楼C705,8-11周 星期四 6-9节 文萃楼C705,8-11周 星期五 6-9节 文萃楼C705",
"8-11周 星期二 6-9节 文萃楼M134,8-11周 星期四 6-9节 文萃楼M134,8-11周 星期五 6-9节 文萃楼M134","调课:10周 星期5 6-9节 孙祺章/6120210102 文萃楼M134 调至:12周 星期1 2-5节 孙祺章/6120210102 文萃楼F202,调课:11周 星期2 6-9节 孙祺章/6120210102 文萃楼M134 调至:12周 星期2 2-5节 孙祺章/6120210102 文萃楼F103"
"1-4周 星期一 6-9节 文萃楼F705,1-4周 星期三 6-9节 文萃楼F705",
"1-4周 星期一 6-9节 文萃楼F705,1-4周 星期三 6-9节 文萃楼F705",
"14-17周 星期二 6-9节 文萃楼C905,14-17周 星期四 6-9节 文萃楼C905,14-17周 星期五 6-9节 文萃楼C905",
"14-17周 星期二 6-9节 文萃楼C805,14-17周 星期四 6-9节 文萃楼C805,14-17周 星期五 6-9节 文萃楼C805",
"1-3周 星期二 6-9节 文萃楼C705,1-3周 星期四 6-9节 文萃楼C705,1-2周 星期五 6-9节 文萃楼C705",
"5-7周 星期二 2-5节 文萃楼C505,5-7周 星期四 2-5节 文萃楼C505,5-6周 星期五 2-5节 文萃楼C505",
"15-17周 星期一 2-5节 文萃楼F405,15-17周 星期二 2-5节 文萃楼F405,15-17周 星期四 6-9节 文萃楼F405,15-17周 星期五 6-9节 文萃楼F405",
"1-4周 星期二 6-9节 文萃楼M134,1-4周 星期四 2-5节 文萃楼M134,1-4周 星期五 6-9节 文萃楼F503",调课:4周 星期5 6-9节 武慧兰/6120104114 文萃楼F503 调至:4周 星期5 6-9节 武慧兰/6120104114 综教B403
"15-17周 星期二 6-9节 文萃楼B130,15-17周 星期四 6-9节 文萃楼B130,15-16周 星期五 6-9节 文萃楼B130",
"5-7周 星期二 6-9节 文萃楼M134,5-7周 星期四 6-9节 文萃楼M134,5-6周 星期五 6-9节 文萃楼M134",
"12-14周 星期二 6-9节 文萃楼B228,12-14周 星期四 6-9节 文萃楼B228,12-13周 星期五 6-9节 文萃楼B228",调课:12周 星期4 6-9节 韩默/6120200032 文萃楼B228 调至:12周 星期4 6-9节 韩默/6120200032
"12-14周 星期二 6-9节 文萃楼M134,12-14周 星期三 6-9节 文萃楼M134,12-14周 星期四 6-9节 文萃楼M134,12-14周 星期五 6-9节 文萃楼M134",调课:12周 星期5 6-9节 孙子文/6120200134 文萃楼M134 调至:12周 星期5 6-9节 孙子文/6120200134
"8-11周 星期二 6-9节 文萃楼G126,8-11周 星期四 6-9节 文萃楼G126,8-11周 星期五 6-9节 文萃楼G126",
"1-3周 星期一 2-5节 文萃楼F501,1-3周 星期三 6-9节 文萃楼F501,1-2周 星期五 6-9节 文萃楼F501",
"4-6周 星期二 6-9节 文萃楼G126,4-6周 星期四 6-9节 文萃楼G126,4-5周 星期五 6-9节 文萃楼G126",
"9-11周 星期二 6-9节 文萃楼M135,9-11周 星期三 6-9节 文萃楼M135,9-11周 星期四 6-9节 文萃楼M135,9-11周 星期五 6-9节 文萃楼M135",
"13-15周 星期二 6-9节 文萃楼F705,13-15周 星期三 6-9节 文萃楼F705,13-15周 星期四 6-9节 文萃楼F705,13-15周 星期五 6-9节 文萃楼F705",
"7周 星期二 1-4节 文萃楼M222,7周 星期三 1-4节 理学C315,7周 星期四 1-4节 理学C315,7周 星期五 1-4节 理学C315,8周 星期二 1-4节 理学C315,8周 星期三 1-4节 理学C315,8周 星期四 1-4节 理学C315,8周 星期五 1-4节 理学C315",
"3周 星期一 1-4节 文萃楼I201,3周 星期三 1-4节 理学C305,3周 星期四 1-4节 理学C305,3周 星期五 1-4节 理学C305,4周 星期一 1-4节 理学C305,4周 星期五 1-4节 理学C305,5周 星期五 1-4节 理学C305,6周 星期五 1-4节 理学C305",
"9周 星期二 1-4节 文萃楼F703,9周 星期三 1-4节 理学C305,9周 星期四 1-4节 理学C305,9周 星期五 1-4节 理学C305,10周 星期二 1-4节 理学C305,10周 星期三 1-4节 理学C305,10周 星期四 1-4节 理学C305,10周 星期五 1-4节 理学C305",
"5周 星期一 1-4节 文萃楼F503,5周 星期三 1-4节 理学C314,5周 星期四 1-4节 理学C314,5周 星期五 1-4节 理学C314,6周 星期一 1-4节 理学C314,6周 星期三 1-4节 理学C314,6周 星期四 1-4节 理学C314,6周 星期五 1-4节 理学C314",
"15周 星期二 1-4节 文萃楼I205,15周 星期三 1-4节 理学C305,15周 星期四 1-4节 理学C305,15周 星期五 1-4节 理学C305,16周 星期二 1-4节 理学C305,16周 星期三 1-4节 理学C305,16周 星期四 1-4节 理学C305,16周 星期五 1-4节 理学C305",
"8-10周 星期一 2-5节 文萃楼C705,8-10周 星期三 2-5节 文萃楼C705,8-9周 星期五 2-5节 文萃楼C705",
1周 星期一[6-7节]文萃楼M134;1周 星期三[6-10节]文萃楼M134;1周 星期四[6-10节]文萃楼M134;1周 星期五[6-10节]文萃楼M134;2周 星期三[6-10节]文萃楼M134;2周 星期四[6-10节]文萃楼M134;2周 星期五[6-10节]文萃楼M134,
3周 星期三[6-10节]文萃楼M134;3周 星期五[6-10节]文萃楼M134;4周 星期一[2-5节]文萃楼I102;4周 星期三[6-10节]文萃楼M134;4周 星期五[6-10节]文萃楼M134;5周 星期一[2-5节]文萃楼I102;5周 星期三[6-9节]文萃楼M134,
11周 星期四[6-9节]文萃楼B228;12周 星期一[6-9节]文萃楼B130;12周 星期二[6-9节]文萃楼G125;12周 星期三[6-9节]文萃楼B130;12周 星期四[6-9节]文萃楼B130;13周 星期四[6-9节]文萃楼B130;13周 星期日[6-9节]文萃楼B130;15周 星期日[6-9节]文萃楼B130,
3周 星期四[6-10节]文萃楼M134;4周 星期一[6-10节]文萃楼M135;4周 星期四[6-10节]文萃楼M134;5周 星期一[6-10节]文萃楼M135;5周 星期四[6-10节]文萃楼H130;6周 星期一[6-10节]文萃楼M135;6周 星期二[6-7节]文萃楼B140,
13周 星期一[6-10节]文萃楼B130;13周 星期三[6-10节]文萃楼B130;14周 星期一[6-10节]文萃楼B130;14周 星期三[6-10节]文萃楼B130;14周 星期五[6-7节]文萃楼B130;15周 星期三[6-10节]文萃楼B130;16周 星期三[6-10节]文萃楼B130,
12-13周 星期一[11-13节]文萃楼F102;12-13周 星期二[11-13节]文萃楼F102;12-13周 星期三[11-13节]文萃楼F102;12-13周 星期四[11-13节]文萃楼F102;14周 星期一[11-13节]文萃楼F102;14周 星期二[11-13节]文萃楼F102;14周 星期三[11-12节]文萃楼F102,
9周 星期四[6-10节]文萃楼F103;9周 星期日[6-10节]文萃楼B130;10周 星期一[6-10节]文萃楼B130;10周 星期三[6-10节]文萃楼B130;10周 星期四[6-10节]文萃楼F103;11周 星期五[6-7节]文萃楼B130;11周 星期六[6-10节]文萃楼B130,
5周 星期五[6-10节]文萃楼F404;6周 星期一[2-5节]文萃楼F702;6周 星期三[6-10节]文萃楼M134;6周 星期四[6-10节]文萃楼H130;7周 星期一[2-5节]文萃楼F702;7周 星期四[6-10节]文萃楼H130;8周 星期一[2-5节]文萃楼F702,
15周 星期二[6-10节]文萃楼F202;15周 星期三[3-4节]文萃楼F202;15周 星期四[6-10节]文萃楼F202;15周 星期五[6-10节]文萃楼F102;16周 星期二[6-10节]文萃楼F202;16周 星期四[6-10节]文萃楼F202;16周 星期五[6-10节]文萃楼F102,
17周 星期一[6-10节]文萃楼F102;17周 星期三[6-10节]文萃楼F102;17周 星期四[6-10节]文萃楼F102;17周 星期五[6-10节]文萃楼F102;18周 星期一[6-10节]文萃楼F102;18周 星期三[6-10节]文萃楼F102;18周 星期日[3-4节]文萃楼F102,
15-18周 星期一[2-5节]文萃楼F202;15-18周 星期二[2-5节]文萃楼F103,
15周 星期四[2-5节]文萃楼I204;15周 星期五[2-5节]文萃楼I204;16周 星期四[2-5节]文萃楼I204;16周 星期五[2-5节]文萃楼I204;17周 星期二[6-9节]文萃楼I204;17周 星期四[2-5节]文萃楼I204;17周 星期五[2-5节]文萃楼I204;18周 星期二[2-5节]文萃楼I204,
8周 星期四[2-5节]文萃楼I102;9周 星期四[2-5节]文萃楼I204;9周 星期五[8-11节]文萃楼F304;9周 星期日[2-5节]文萃楼I404;10周 星期一[2-5节]文萃楼I404;10周 星期四[2-5节]文萃楼I204;12周 星期五[6-9节]文萃楼I204;16周 星期六[6-9节]文萃楼F102,"调课,调课,调课,调课,调课,调课,调课,调课"
12周 星期四[2-5节]文萃楼F702;13周 星期一[2-5节]文萃楼F202;13周 星期二[2-5节]文萃楼F204;13周 星期四[2-5节]文萃楼F702;14周 星期一[2-5节]文萃楼F202;14周 星期二[2-5节]文萃楼F204;14周 星期四[2-5节]文萃楼F702;16周 星期六[2-5节]文萃楼F102,
"8周,10-12周 星期六 1-8节 文萃楼M227",
1-11周 星期四 11-13节 文萃楼M227,
12-15周 星期六 1-8节 文萃楼C501c,
1-4周 星期六 1-8节 文萃楼C806,
"12周 星期六 6-13节 文萃楼C806,12周 星期日 1-8节 文萃楼C806,13周 星期六 1-8节 文萃楼C806,13周 星期日 1-8节 文萃楼C806",
8-11周 星期六 1-8节 文萃楼C501b,
10-13周 星期六 1-8节 文萃楼F303,
1-11周 星期二 11-13节 文萃楼F403,调课:10-11周 星期2 11-13节 孙远波/6120101796 文萃楼F403 调至:15-16周 星期2 11-13节 孙远波/6120101796 文萃楼F403
"3-6周 星期六 6-9节 文萃楼M233,3-6周 星期六 1-4节 文萃楼M233","调课:6周 星期6 1-4节 赵斌/6120104167 文萃楼M233 调至:6周 星期7 1-4节 赵斌/6120104167 ,调课:6周 星期6 6-9节 赵斌/6120104167 文萃楼M233 调至:6周 星期7 6-9节 赵斌/6120104167"
3-13周 星期四 11-13节 文萃楼M223,
9-12周 星期六 1-8节 文萃楼C501a,调课:12周 星期6 1-8节 张岩红/6120103624 文萃楼C501a 调至:13周 星期6 1-8节 张岩红/6120103624
3-13周 星期四 11-13节 文萃楼B221,
5-8周 星期六 1-8节 文萃楼C806,调课:7周 星期6 1-8节 周岩/6120103618 文萃楼C806 调至:7周 星期6 1-8节 王宏伟/6120103242 文萃楼C806
"9-11周 星期二 6-9节 文萃楼M135,9-11周 星期三 6-9节 文萃楼M135,9-11周 星期四 6-9节 文萃楼M135,9-11周 星期五 6-9节 文萃楼M135",
6周 星期六 8-10节 文萃楼I201,
1-16周 星期三 3-5节 文萃楼I704,调课:7周 星期3 3-5节 杨才林/6120104403 文萃楼I704 调至:7周 星期3 3-5节 杨才林/6120104403
1-16周 星期三 3-5节 文萃楼F604,调课:7周 星期3 3-5节 郭丽萍/6120104137 文萃楼F604 调至:7周 星期3 3-5节 郭丽萍/6120104137
1-16周 星期四 11-13节 文萃楼M228,调课:7周 星期4 11-13节 李赫亚/6120104061 文萃楼M228 调至:7周 星期4 11-13节 李赫亚/6120104061
1-16周 星期四 11-13节 文萃楼B228,调课:7周 星期4 11-13节 安学勇/6120140083 文萃楼B228 调至:7周 星期4 11-13节 安学勇/6120140083
1-16周 星期四 11-13节 文萃楼F702,调课:7周 星期4 11-13节 陈浩/6120150123 文萃楼F702 调至:7周 星期4 11-13节 陈浩/6120150123
1-16周 星期三 8-10节 文萃楼F604,调课:7周 星期3 8-10节 杨才林/6120104403 文萃楼F604 调至:7周 星期3 8-10节 杨才林/6120104403
1-16周 星期四 3-5节 文萃楼F602,调课:7周 星期4 3-5节 郭丽萍/6120104137 文萃楼F602 调至:7周 星期4 3-5节 郭丽萍/6120104137
1-16周 星期二 11-13节 文萃楼F103,调课:7周 星期2 11-13节 李佳金/6120190106 文萃楼F103 调至:7周 星期2 11-13节 李佳金/6120190106
1-16周 星期五 11-13节 文萃楼F102,"调课:4周 星期5 11-13节 李佳金/6120190106 文萃楼F102 调至:4周 星期5 11-13节 李佳金/6120190106 文萃楼B130,调课:7周 星期5 11-13节 李佳金/6120190106 文萃楼F102 调至:7周 星期5 11-13节 李佳金/6120190106"
1-16周 星期三 3-5节 文萃楼I604,调课:7周 星期3 3-5节 王娟/6120104244 文萃楼I604 调至:7周 星期3 3-5节 王娟/6120104244
1-16周 星期五 11-13节 文萃楼F702,"调课:4周 星期5 11-13节 陈浩/6120150123 文萃楼F702 调至:4周 星期5 11-13节 陈浩/6120150123 文萃楼B139,调课:7周 星期5 11-13节 陈浩/6120150123 文萃楼F702 调至:7周 星期5 11-13节 陈浩/6120150123"
1-16周 星期四 8-10节 文萃楼B139,调课:7周 星期4 8-10节 张尔葭/6120180112 文萃楼B139 调至:7周 星期4 8-10节 张尔葭/6120180112
1-16周 星期四 8-10节 文萃楼F702,调课:7周 星期4 8-10节 陈浩/6120150123 文萃楼F702 调至:7周 星期4 8-10节 陈浩/6120150123
1-16周 星期三 11-13节 文萃楼M228,调课:7周 星期3 11-13节 李赫亚/6120104061 文萃楼M228 调至:7周 星期3 11-13节 李赫亚/6120104061
1-16周 星期一 11-13节 文萃楼B139,调课:7周 星期1 11-13节 李佳金/6120190106 文萃楼B139 调至:7周 星期1 11-13节 李佳金/6120190106
1-16周 星期一 11-13节 文萃楼M125,调课:7周 星期1 11-13节 赵紫玉/6120190107 文萃楼M125 调至:7周 星期1 11-13节 赵紫玉/6120190107
1-16周 星期三 8-10节 文萃楼I704,调课:7周 星期3 8-10节 王娟/6120104244 文萃楼I704 调至:7周 星期3 8-10节 王娟/6120104244
1-16周 星期二 11-13节 文萃楼F204,调课:7周 星期2 11-13节 赵紫玉/6120190107 文萃楼F204 调至:7周 星期2 11-13节 赵紫玉/6120190107
1-16周 星期四 8-10节 文萃楼M228,调课:7周 星期4 8-10节 李赫亚/6120104061 文萃楼M228 调至:7周 星期4 8-10节 李赫亚/6120104061
1-16周 星期五 11-13节 文萃楼M134,调课:7周 星期5 11-13节 赵紫玉/6120190107 文萃楼M134 调至:7周 星期5 11-13节 赵紫玉/6120190107
1-16周 星期四 3-5节 文萃楼I702,调课:7周 星期4 3-5节 张虹/6120180111 文萃楼I702 调至:7周 星期4 3-5节 张虹/6120180111
1-16周 星期三 8-10节 文萃楼M125,调课:7周 星期3 8-10节 李赫亚/6120104061 文萃楼M125 调至:7周 星期3 8-10节 李赫亚/6120104061
1-16周 星期四 8-10节 文萃楼I103,调课:7周 星期4 8-10节 杨才林/6120104403 文萃楼I103 调至:7周 星期4 8-10节 杨才林/6120104403
1-16周 星期二 11-13节 文萃楼F304,调课:7周 星期2 11-13节 安学勇/6120140083 文萃楼F304 调至:7周 星期2 11-13节 安学勇/6120140083
1-16周 星期五 3-5节 文萃楼I103,"调课:7周 星期5 3-5节 张虹/6120180111 文萃楼I103 调至:7周 星期5 3-5节 张虹/6120180111 ,调课:4周 星期5 3-5节 张虹/6120180111 文萃楼I103 调至:4周 星期5 3-5节 安学勇/6120140083 文萃楼I103"
1-16周 星期三 8-10节 文萃楼F402,调课:7周 星期3 8-10节 麻省理/6120200087 文萃楼F402 调至:7周 星期3 8-10节 麻省理/6120200087
1-16周 星期二 8-10节 文萃楼I704,调课:7周 星期2 8-10节 张尔葭/6120180112 文萃楼I704 调至:7周 星期2 8-10节 张尔葭/6120180112
1-16周 星期二 3-5节 文萃楼F402,调课:7周 星期2 3-5节 张尔葭/6120180112 文萃楼F402 调至:7周 星期2 3-5节 张尔葭/6120180112
5-8周 星期三 11-12节 文萃楼I103,
9-12周 星期五 6-7节 文萃楼F204,
5-8周 星期二 11-12节 文萃楼F102,
5-8周 星期四 6-7节 文萃楼F504,
9-12周 星期五 3-4节 文萃楼F502,
9-12周 星期三 11-12节 文萃楼F402,
13-16周 星期四 6-7节 文萃楼G125,
5-8周 星期五 11-12节 文萃楼M135,
9-12周 星期五 11-12节 文萃楼F402,
6周 星期六 8-9节 文萃楼I303,
5-8周 星期二 6-7节 文萃楼F102,"停课:7周 星期2 6-7节朱梅/6120220197,李永瑞/6120190151,许晶/6120104427,孙德巍/6120210161 文萃楼F102,调课:8周 星期2 6-7节 孙德巍/6120210161,朱梅/6120220197,李永瑞/6120190151,许晶/6120104427 文萃楼F102 调至:8周 星期2 6-7节 王慧敏/6120220206 文萃楼F102,补课:8周 星期7 3-4节  文萃楼M125"
13-16周 星期三 11-12节 文萃楼B140,
13-16周 星期一 11-12节 文萃楼F204,
13-16周 星期五 11-12节 文萃楼G126,
13-16周 星期三 11-12节 文萃楼G126,
6周 星期六 8-9节 文萃楼I303,
6周 星期六 8-9节 文萃楼I303,
1-16周 星期三 11-13节 文萃楼B228,调课:4-5周 星期3 11-13节 高洁/6120200014 文萃楼B228 调至:4-5周 星期3 11-13节 高洁/6120200014
1-16周 星期五 3-5节 文萃楼F702,"调课:5周 星期5 3-5节 申晓勇/6120103377 文萃楼F702 调至:5周 星期5 3-5节 申晓勇/6120103377 ,调课:8周,12周 星期5 3-5节 申晓勇/6120103377 文萃楼F702 调至:8周,12周 星期5 3-5节 申晓勇/6120103377"
1-16周 星期二 3-5节 文萃楼F502,"调课:8周,12周 星期2 3-5节 李璎珞/6120200121 文萃楼F502 调至:8周,12周 星期2 3-5节 李璎珞/6120200121"
1-16周 星期五 3-5节 文萃楼F604,"调课:8周,12周 星期5 3-5节 李京/6120150105 文萃楼F604 调至:8周,12周 星期5 3-5节 李京/6120150105"
1-16周 星期五 8-10节 文萃楼F204,"调课:4周 星期5 8-10节 李京/6120150105 文萃楼F204 调至:4周 星期5 8-10节 李京/6120150105 综教A404,调课:8周,12周 星期5 8-10节 李京/6120150105 文萃楼F204 调至:8周,12周 星期5 8-10节 李京/6120150105"
1-16周 星期二 11-13节 文萃楼G130,"调课:8周,12周 星期2 11-13节 钟天娥/9120231005 文萃楼G130 调至:8周,12周 星期2 11-13节 钟天娥/9120231005 ,调课:3-16周 星期2 11-13节 田守业/6120101748 文萃楼G130 调至:3-16周 星期2 11-13节 钟天娥/9120231005 文萃楼G130"
1-16周 星期四 11-13节 文萃楼F204,"调课:3-16周 星期4 11-13节 田守业/6120101748 文萃楼F204 调至:3-16周 星期4 11-13节 孙振鹏/9120231003 文萃楼F204,调课:8周,12周 星期4 11-13节 孙振鹏/9120231003 文萃楼F204 调至:8周,12周 星期4 11-13节 孙振鹏/9120231003"
1-16周 星期四 3-5节 文萃楼I103,"调课:8周,12周 星期4 3-5节 李永进/6120170085 文萃楼I103 调至:8周,12周 星期4 3-5节 李永进/6120170085"
1-16周 星期三 8-10节 文萃楼F404,调课:4-5周 星期3 8-10节 高洁/6120200014 文萃楼F404 调至:4-5周 星期3 8-10节 高洁/6120200014
1-16周 星期一 11-13节 文萃楼F304,"调课:8周,12周 星期1 11-13节 张宏伟/9120181001 文萃楼F304 调至:8周,12周 星期1 11-13节 张宏伟/9120181001 ,调课:3-16周 星期1 11-13节 田守业/6120101748 文萃楼F304 调至:3-16周 星期1 11-13节 张宏伟/9120181001 文萃楼F304"
1-16周 星期三 3-5节 文萃楼F602,"调课:8周,12周 星期3 3-5节 张廷广/6120190086 文萃楼F602 调至:8周,12周 星期3 3-5节 张廷广/6120190086"
1-16周 星期三 3-5节 文萃楼F102,"调课:8周,12周 星期3 3-5节 吴绮雯/6120190221 文萃楼F102 调至:8周,12周 星期3 3-5节 吴绮雯/6120190221"
1-16周 星期三 8-10节 文萃楼I103,"调课:8周,12周 星期3 8-10节 宋歌/6120220150,李璎珞/6120200121 文萃楼I103 调至:8周,12周 星期3 8-10节 李璎珞/6120200121,宋歌/6120220150 ,调课:3-16周 星期3 8-10节 田守业/6120101748 文萃楼I103 调至:3-16周 星期3 8-10节 李璎珞/6120200121,宋歌/6120220150 文萃楼I103"
1-16周 星期二 3-5节 文萃楼F302,"调课:6周 星期2 3-5节 张雷/6120120085 文萃楼F302 调至:6周 星期2 3-5节 张雷/6120120085 ,调课:8周,12周 星期2 3-5节 张雷/6120120085 文萃楼F302 调至:8周,12周 星期2 3-5节 张雷/6120120085"
1-16周 星期二 8-10节 文萃楼F402,"调课:8周,12周 星期2 8-10节 张雷/6120120085 文萃楼F402 调至:8周,12周 星期2 8-10节 张雷/6120120085 ,调课:6周 星期2 8-10节 张雷/6120120085 文萃楼F402 调至:6周 星期2 8-10节 张雷/6120120085"
