已排时间地点,调课结果
"1-8周 星期二 8-10节 文萃楼F305,1-8周 星期五 3-5节 文萃楼F305",调课:4周 星期5 3-5节 樊伟/6120210281 文萃楼F305 调至:4周 星期5 3-5节 樊伟/6120210281 综教A106
"1-8周 星期一 6-7节 文萃楼I304,1-8周 星期四 3-4节 文萃楼I304",
"1-8周 星期二 1-2节 文萃楼B130,1-8周 星期四 1-2节 文萃楼B130",
"1-8周 星期三 6-7节 文萃楼F102,1-8周 星期五 6-7节 文萃楼F102",调课:4周 星期5 6-7节 刘金祥/6120103061 文萃楼F102 调至:4周 星期5 6-7节 刘金祥/6120103061 综教A102
"1-8周 星期二 6-7节 文萃楼I102,1-8周 星期四 6-7节 文萃楼I102",
"1-8周 星期二 6-7节 文萃楼F405,1-8周 星期四 6-7节 文萃楼F405",
"1-8周 星期一 6-7节 文萃楼B227,1-8周 星期三 6-7节 文萃楼B227",
"1-8周 星期三 8-9节 文萃楼F602,1-8周 星期五 8-9节 文萃楼F602",调课:4周 星期5 8-9节 孔运/6120220226 文萃楼F602 调至:4周 星期5 8-9节 孔运/6120220226 综教B303
"1-8周 星期三 6-7节 文萃楼G224,1-8周 星期五 6-7节 文萃楼G224",停课:4周 星期3 6-7节马越/6120103362 文萃楼G224
"1-8周 星期二 6-7节 文萃楼F101,1-8周 星期四 6-7节 文萃楼F101",
"4-11周 星期二 6-7节 文萃楼F501,4-11周 星期四 6-7节 文萃楼F501",
"4-11周 星期三 6-7节 文萃楼G227,4-11周 星期五 6-7节 文萃楼G227",
"4-11周 星期三 1-2节 文萃楼G223,4-11周 星期五 6-7节 文萃楼G223","调课:4-11周 星期3 1-2节 张付军/6120100227 文萃楼G223 调至:4-11周 星期3 1-2节 赵振峰/6120120002 文萃楼G223,调课:4-11周 星期5 6-7节 张付军/6120100227 文萃楼G223 调至:4-11周 星期5 6-7节 赵振峰/6120120002 文萃楼G223"
"5-12周 星期三 3-4节 文萃楼F202,5-12周 星期五 3-4节 文萃楼F202",
"5-12周 星期三 3-4节 文萃楼F301,5-12周 星期五 3-4节 文萃楼F301","调课:5-12周 星期5 3-4节 姜澜/6120104320 文萃楼F301 调至:5-12周 星期5 3-4节 姜澜/6120104320 文萃楼F202,调课:5-12周 星期3 3-4节 姜澜/6120104320 文萃楼F301 调至:5-12周 星期3 3-4节 姜澜/6120104320 文萃楼F202"
"5-12周 星期二 3-4节 文萃楼F405,5-12周 星期四 3-4节 文萃楼F405",
"1-14周 星期二 8-9节 文萃楼I401,1-14周 星期五 1-2节 文萃楼I401","停课:13-14周 星期5 1-2节张彤/6120100844 文萃楼I401,停课:13-14周 星期2 8-9节张彤/6120100844 文萃楼I401"
"10-16周 星期一 8-10节 文萃楼I604,10-16周 星期三 8-10节 文萃楼I604",停课:12周 星期3 8-10节何洪文/6120103536 文萃楼I604
"10-16周 星期一 8-10节 文萃楼I504,10-16周 星期三 8-10节 文萃楼I504","调课:10-16周 星期3 8-10节 李建威/6120180010 文萃楼I504 调至:10-16周 星期3 8-10节 李建威/6120180010 文萃楼I404,调课:11-16周 星期1 8-10节 李建威/6120180010 文萃楼I504 调至:11-16周 星期1 8-10节 李建威/6120180010 文萃楼I404"
"10-16周 星期一 8-10节 文萃楼I404,10-16周 星期三 8-10节 文萃楼I404",
"10-16周 星期一 8-10节 文萃楼I602,10-16周 星期三 8-10节 文萃楼I602",
"3-10周 星期二 3-4节 文萃楼F702,3-10周 星期四 3-4节 文萃楼F702",
"3-10周 星期二 3-4节 文萃楼I604,3-10周 星期四 3-4节 文萃楼I604",
"3-10周 星期一 3-5节 文萃楼B222,3-10周 星期三 3-5节 文萃楼B222",
"3-10周 星期一 3-5节 文萃楼F601,3-10周 星期三 3-5节 文萃楼F601",
"3-10周 星期一 3-5节 文萃楼F201,3-10周 星期三 3-5节 文萃楼F201",
"4-11周 星期二 8-10节 文萃楼I504,4-11周 星期五 8-10节 文萃楼I504",
